"","artist","song","viewcount","year"
"817","Isaiah Rashad","95             ",15700,2014
"818","Isaiah Rashad","The Spill (Grammy Family Freestyle)             ",11200,2014
"819","Isaiah Rashad","Gusto (Ft. Brian Cameron)             ",25400,2014
"820","Isaiah Rashad","Like That (Ft. Michael da Vinci)             ",25400,2014
"821","Isaiah Rashad","Weak Shit             ",28800,2014
"822","Isaiah Rashad","Mani Lux             ",32100,2014
"823","Isaiah Rashad","Fake Trill (Ft. Michael da Vinci)             ",28100,2014
"824","Isaiah Rashad","Probation by YGTUT             ",7600,2014
"825","J.I.D","Slick Talk             ",60200,2018
"826","J.I.D","Westbrook by J.I.D & A$AP Ferg             ",68200,2018
"827","J.I.D","Frequency Change             ",10200,2018
"828","J.I.D","Off da Zoinkys             ",41400,2018
"829","J.I.D","Workin Out             ",69400,2018
"830","J.I.D","Tiiied (Ft. 6LACK & Ella Mai)             ",37100,2018
"831","J.I.D","Skrawberries (Ft. BJ the Chicago Kid)             ",43300,2018
"832","J.I.D","Hot Box (Ft. Joey Bada$$ & Method Man)             ",26700,2018
"833","J.I.D","Mounted Up             ",23500,2018
"834","J.I.D","Just da Other Day             ",25100,2018
"835","J.I.D","Despacito Too             ",19800,2018
"836","J.I.D","Hasta Luego             ",63900,2018
"837","J.I.D","Doo Wop             ",15100,2018
"838","J.I.D","General             ",33500,2018
"839","J.I.D","NEVER             ",241300,2018
"840","J.I.D","EdEddnEddy             ",60400,2018
"841","J.I.D","D/vision (Ft. EARTHGANG)             ",67500,2018
"842","J.I.D","Hereditary             ",52200,2018
"843","J.I.D","All Bad (Ft. Mereba)             ",37400,2018
"844","J.I.D","Underwear             ",37700,2018
"845","J.I.D","8701 (Ft. 6LACK)             ",34900,2018
"846","J.I.D","Hoodbooger             ",18800,2018
"847","J.I.D","Somebody             ",17200,2018
"848","J.I.D","LAUDER             ",54500,2018
"849","J.I.D","151 Rum             ",183400,2018
"850","J.I.D","Off Deez by J.I.D & J. Cole             ",311800,2018
"851","Jarren Benton","Don't Need You (Ft. Evans Desir & Hopsin)             ",16500,2014
"852","Jarren Benton","WTFUTB             ",6300,2014
"853","Jarren Benton","No Fucks to Give (Ft. Chris Webby & Futuristic)             ",11800,2014
"854","Jarren Benton","Scared (Ft. Big Rube & OnCue)             ",9100,2014
"855","Jarren Benton","Lost Kings (Ft. Micah Freeman)             ",5300,2014
"856","Jarren Benton","Tec In The Church (Ft. Joyner Lucas & Locksmith)             ",5800,2014
"857","Jarren Benton","You Don't Know Me (Ft. Hemi)             ",7600,2014
"858","Jarren Benton","Alladat             ",16700,2014
"859","Jarren Benton","W.H.W. (Ft. Sy Ari Da Kid)             ",8700,2014
"860","Jarren Benton","Diamonds & Fur (Ft. R. City)             ",7000,2014
"861","Jarren Benton","Atychiphobia (Ft. Bernz (of iMAYDAY!), Hemi & Wrekonize)             ",6700,2014
"862","Jarren Benton","Hallelujah (Ft. Dizzy Wright & SwizZz)             ",10600,2014
"863","Jarren Benton","Killin My Soul (Ft. Hopsin & Jon Connor)             ",18500,2014
"864","Jarren Benton","Silence (Ft. Sareena Dominguez)             ",46500,2014
"865","Jarren Benton","Razor Blades and Steak Knives (Ft. Hemi)             ",53300,2014
"866","Jarren Benton","Life In The Jungle             ",18400,2014
"867","Jarren Benton","Don't Act             ",9100,2014
"868","Jarren Benton","Dreams             ",6600,2014
"869","Jarren Benton","The Way It Goes (Ft. Planet VI)             ",15700,2014
"870","Jarren Benton","Cadillacs & Chevys             ",36700,2014
"871","Jarren Benton","Heart Attack             ",15200,2014
"872","Jarren Benton","My Adidas             ",14500,2014
"873","Jarren Benton","Smells Like (Ft. Mic Buddah & R.A. The Rugged Man)             ",13800,2014
"874","Jarren Benton","Bully (Ft. Vinnie Paz)             ",25300,2014
"875","Jarren Benton","I Deserve It             ",7100,2014
"876","Jarren Benton","Go Off (Ft. Hopsin & SwizZz)             ",66600,2014
"877","Jarren Benton","We On (My Own Dick) (Ft. Dizzy Wright & Poundz)             ",22900,2014
"878","Jarren Benton","PBR & Reefer             ",10200,2014
"879","Jarren Benton","OJ (Ft. Elz Jenkins)             ",7200,2014
"880","Jarren Benton","My Grandmas Basement             ",8400,2014
"881","Jon Connor","Bound 2             ",7200,2014
"882","Jon Connor","When I Was Young (Ft. Chris Webby & Smoke DZA)             ",6100,2014
"883","Jon Connor","In My Sleep (Ft. Chelsea Blair & Tito Lopez)             ",6400,2014
"884","Jon Connor","The Porn Song (Ft. Caas Swift & D. Wayne)             ",27400,2014
"885","Jon Connor","Rise Up (Ft. Talib Kweli)             ",5100,2014
"886","K Camp","Can’t Get Enough             ",8200,2015
"887","K Camp","Racks Like This             ",13700,2015
"888","K Camp","Side Bitch Anthem             ",6100,2015
"889","K Camp","Open Yo Eyes (Ft. True Story Gee)             ",13700,2015
"890","K Camp","F.W.Y.B.             ",40200,2015
"891","K Camp","All I Needed             ",11800,2015
"892","K Camp","Come With A Price             ",8600,2015
"893","K Camp","Exhausted             ",8800,2015
"894","K Camp","Motives             ",8700,2015
"895","K Camp","Made Time             ",10900,2015
"896","K Camp","Invitation (Ft. Asiahn)             ",9600,2015
"897","K Camp","Situation (Ft. Tink)             ",37900,2015
"898","K Camp","WCW             ",38600,2015
"899","K Camp","Underrated             ",7100,2015
"900","K Camp","Homie             ",23900,2015
"901","K Camp","2Crazy             ",7900,2015
"902","K Camp","Up (Ft. Quavo)             ",18300,2015
"903","K Camp","In My Face             ",39900,2015
"904","K Camp","Change (Ft. Jeremih)             ",19000,2015
"905","K Camp","Till I Die (Ft. T.I.)             ",16100,2015
"906","K Camp","Lil Bit             ",140400,2015
"907","K Camp","Own Boss             ",6900,2015
"908","K Camp","Who Am I (Ft. Yo Gotti)             ",9300,2015
"909","K Camp","Comfortable             ",416300,2015
"910","K Camp","Bitches n That Coupe (Ft. Bun B)             ",8300,2015
"911","K Camp","I'm Good             ",20300,2015
"912","K Camp","1Hunnid (Remix) (Ft. Fetty Wap)             ",63300,2015
"913","K Camp","Above Water (Ft. Mereba)             ",9400,2015
"914","Kamaiyah","I'm On             ",8800,2017
"915","Kamaiyah","Out The Bottle (Ft. Zay' M)             ",26200,2017
"916","Kamaiyah","Break You Down             ",6900,2017
"917","Kamaiyah","Come Back             ",7800,2017
"918","Kamaiyah","How Does It Feel             ",36800,2017
"919","Kamaiyah","Ain't Goin Home             ",9100,2017
"920","Kamaiyah","Swing My Way             ",8100,2017
"921","Kamaiyah","Freaky Freaks             ",9700,2017
"922","Kamaiyah","Niggas             ",22200,2017
"923","Kamaiyah","Fuck It Up (Ft. YG)             ",82000,2017
"924","Kap G","Top 5 (Ft. Playboi Carti)             ",8800,2017
"925","Kap G","Marvelous Day (Ft. Gunna & Lil Uzi Vert)             ",203400,2017
"926","Kap G","Big Racks (Ft. Wes)             ",8700,2017
"927","Kap G","I See You (Ft. Chris Brown)             ",41700,2017
"928","Kap G","Freakin 'N' Geekin             ",8700,2017
"929","Kap G","Icha Gicha (Ft. Pharrell Williams)             ",5000,2017
"930","Kap G","Move On Up             ",5400,2017
"931","Kap G","Don't Need Em (Ft. Young Thug)             ",19000,2017
"932","Kap G","Girlfriend             ",282600,2017
"933","Kap G","CEO (Ft. Kapfe)             ",13300,2017
"934","Kap G","Rings             ",16200,2017
"935","Kevin Gates","Discussion             ",32300,2014
"936","Kevin Gates","Shakin Back             ",16500,2014
"937","Kevin Gates","Ridiculous             ",12200,2014
"938","Kevin Gates","Money Long             ",19200,2014
"939","Kevin Gates","I Got U             ",29300,2014
"940","Kevin Gates","Great Man             ",47700,2014
"941","Kevin Gates","Find You Again             ",82700,2014
"942","Kevin Gates","Adding Up             ",12200,2014
"943","Kevin Gates","In God I Trust             ",40100,2014
"944","Kevin Gates","Me Too             ",58900,2014
"945","Kevin Gates","Servin H             ",23700,2014
"946","Kevin Gates","Wrong Love             ",32300,2014
"947","Kevin Gates","Luca Brasi Freestyle             ",16300,2014
"948","Kevin Gates","Shoulda             ",57200,2014
"949","Kevin Gates","Kung Fu             ",7100,2014
"950","Kevin Gates","Don't Know (Luca Brasi 3)             ",6500,2014
"951","Kevin Gates","Tryna Yea             ",14300,2014
"952","Kevin Gates","M.A.T.A             ",13500,2014
"953","Kevin Gates","Change Lanes             ",155400,2014
"954","Kevin Gates","Vouch             ",74000,2014
"955","Kevin Gates","Let It Sing             ",45600,2014
"956","Kevin Gates","No Love             ",63400,2014
"957","Kevin Gates","McGyver             ",47500,2014
"958","Kevin Gates","Had To             ",165600,2014
"959","Kevin Gates","Fuckin Right             ",84000,2014
"960","Kevin Gates","Beautiful Scars (Ft. PnB Rock)             ",62100,2014
"961","Kevin Gates","Attention             ",25700,2014
"962","Kevin Gates","GOMD             ",36700,2014
"963","Kevin Gates","D U Down             ",95400,2014
"964","Kevin Gates","What If             ",79900,2014
"965","Kevin Gates","Came Up             ",19600,2014
"966","Kevin Gates","Imagine That             ",286700,2014
"967","Kevin Gates","No Trust             ",43300,2014
"968","Kevin Gates","Jus Wanna             ",56900,2014
"969","Kevin Gates","Why I             ",79300,2014
"970","Kevin Gates","Not the Only One             ",262300,2014
"971","Kevin Gates","Really Really             ",569400,2014
"972","Kevin Gates","2 Phones             ",872700,2014
"973","Kevin Gates","Pride             ",202900,2014
"974","Kevin Gates","La Familia             ",70600,2014
"975","Kevin Gates","Time for That             ",293700,2014
"976","Kevin Gates","Thought I Heard (Bread Winners' Anthem)             ",37900,2014
"977","Kevin Gates","Hard For             ",202600,2014
"978","Kevin Gates","Ask for More             ",39200,2014
"979","Kevin Gates","One Thing             ",131400,2014
"980","Kevin Gates","The Truth             ",78400,2014
"981","Kevin Gates","Kno One             ",220200,2014
"982","Kevin Gates","Told Me             ",71800,2014
"983","Kevin Gates","Ain't Too Hard             ",107700,2014
"984","Kevin Gates","I Love It             ",35300,2014
"985","Kevin Gates","Jam (Ft. Jamie Foxx, Trey Songz & Ty Dolla $ign)             ",161600,2014
"986","Kevin Gates","Excuse Me             ",55600,2014
"987","Kevin Gates","Islah [Tracklist + Album Art]             ",15000,2014
"988","Kevin Gates","Luca Brasi 2 Intro             ",62000,2014
"989","Kevin Gates","I Don't Get Tired (Ft. August Alsina)             ",309400,2014
"990","Kevin Gates","John Gotti             ",167900,2014
"991","Kevin Gates","Perfect Imperfection             ",350600,2014
"992","Kevin Gates","Plug Daughter             ",125400,2014
"993","Kevin Gates","Out The Mud             ",173300,2014
"994","Kevin Gates","Thugged Out (Ft. OG Boobie Black)             ",42500,2014
"995","Kevin Gates","Sit Down             ",142700,2014
"996","Kevin Gates","Complaining (Ft. Rico Love)             ",31700,2014
"997","Kevin Gates","Talk On Phones             ",15900,2014
"998","Kevin Gates","Wassup With It             ",110300,2014
"999","Kevin Gates","Don't Panic             ",42200,2014
"1000","Kevin Gates","Break The Bitch Down (Ft. K Camp)             ",46500,2014
"1001","Kevin Gates","In My Feelings             ",168700,2014
"1002","Kevin Gates","Pourin the Syrup             ",157700,2014
"1003","Kevin Gates","Wild Ride             ",69700,2014
"1004","Kevin Gates","Word Around Town (Ft. Rich Homie Quan)             ",55000,2014
"1005","Kevin Gates","Makin Love             ",73400,2014
"1006","Kevin Gates","Luca Brasi 2 Mixtape Cover and Tracklisting             ",7500,2014
"1007","Kevin Gates","Wish I Had It             ",145500,2014
"1008","Kevin Gates","Don't Know             ",53900,2014
"1009","Kevin Gates","Amnesia (Ft. Doe B)             ",35400,2014
"1010","Kevin Gates","Can't Make This Up             ",54400,2014
"1011","Kevin Gates","Keep Fucking With Me (Ft. Plies)             ",15100,2014
"1012","Kevin Gates","Homicide             ",32400,2014
"1013","Kevin Gates","Movie             ",71500,2014
"1014","Kevin Gates","Go Hard (Ft. Rico Love)             ",58400,2014
"1015","Kevin Gates","Bet I'm On It (Ft. 2 Chainz)             ",35800,2014
